month,region,region_name,revenue,cost,gross_profit,expense,budget,actual,currency
2025-05,RG-SOUTH,华南区,8712586,6447314,2265272,1045510,9148215,8712586,CNY
2025-05,RG-EAST,华东区,7053046,5078193,1974853,846366,7405698,7053046,CNY
2025-05,RG-NORTH,华北区,3733966,2763135,970831,448076,3920664,3733966,CNY
2025-05,RG-HK,中国香港,2385589,1669912,715677,286271,2504868,2385589,CNY
2025-05,RG-SEA,东南亚,3007917,2105542,902375,360950,3158313,3007917,CNY
2025-05,RG-EU,欧洲,4667457,3360569,1306888,560095,4900830,4667457,CNY
2025-06,RG-SOUTH,华南区,8903690,6232583,2671107,1068443,9348874,8903690,CNY
2025-06,RG-EAST,华东区,7207749,5333734,1874015,864930,7568136,7207749,CNY
2025-06,RG-NORTH,华北区,3815867,2671107,1144760,457904,4006660,3815867,CNY
2025-06,RG-HK,中国香港,2437915,1755299,682616,292550,2559811,2437915,CNY
2025-06,RG-SEA,东南亚,3073893,2213203,860690,368867,3227588,3073893,CNY
2025-06,RG-EU,欧洲,4769834,3529677,1240157,572380,5008326,4769834,CNY
2025-07,RG-SOUTH,华南区,9098076,6550615,2547461,1091769,9552980,9098076,CNY
2025-07,RG-EAST,华东区,7365109,5155576,2209533,883813,7733364,7365109,CNY
2025-07,RG-NORTH,华北区,3899176,2807407,1091769,467901,4094135,3899176,CNY
2025-07,RG-HK,中国香港,2491140,1843444,647696,298937,2615697,2491140,CNY
2025-07,RG-SEA,东南亚,3141003,2324342,816661,376920,3298053,3141003,CNY
2025-07,RG-EU,欧洲,4873970,3411779,1462191,584876,5117668,4873970,CNY
2025-08,RG-SOUTH,华南区,9295795,6878888,2416907,1115495,9760585,9295795,CNY
2025-08,RG-EAST,华东区,7525167,5418120,2107047,903020,7901425,7525167,CNY
2025-08,RG-NORTH,华北区,3983912,2948095,1035817,478069,4183108,3983912,CNY
2025-08,RG-HK,中国香港,2545277,1781694,763583,305433,2672541,2545277,CNY
2025-08,RG-SEA,东南亚,3209263,2246484,962779,385112,3369726,3209263,CNY
2025-08,RG-EU,欧洲,4979890,3585521,1394369,597587,5228884,4979890,CNY
2025-09,RG-SOUTH,华南区,9496897,6647828,2849069,1139628,9971742,9496897,CNY
2025-09,RG-EAST,华东区,7687964,5689093,1998871,922556,8072362,7687964,CNY
2025-09,RG-NORTH,华北区,4070099,2849069,1221030,488412,4273604,4070099,CNY
2025-09,RG-HK,中国香港,2600341,1872246,728095,312041,2730358,2600341,CNY
2025-09,RG-SEA,东南亚,3278691,2360658,918033,393443,3442626,3278691,CNY
2025-09,RG-EU,欧洲,5087624,3764842,1322782,610515,5342005,5087624,CNY
2025-10,RG-SOUTH,华南区,9701436,6985034,2716402,1164172,10186508,9701436,CNY
2025-10,RG-EAST,华东区,7853543,5497480,2356063,942425,8246220,7853543,CNY
2025-10,RG-NORTH,华北区,4157758,2993586,1164172,498931,4365646,4157758,CNY
2025-10,RG-HK,中国香港,2656345,1965695,690650,318761,2789162,2656345,CNY
2025-10,RG-SEA,东南亚,3349305,2478486,870819,401917,3516770,3349305,CNY
2025-10,RG-EU,欧洲,5197198,3638039,1559159,623664,5457058,5197198,CNY
2025-11,RG-SOUTH,华南区,9909463,7333003,2576460,1189136,10404936,9909463,CNY
2025-11,RG-EAST,华东区,8021946,5775801,2246145,962634,8423043,8021946,CNY
2025-11,RG-NORTH,华北区,4246913,3142716,1104197,509630,4459259,4246913,CNY
2025-11,RG-HK,中国香港,2713305,1899313,813992,325597,2848970,2713305,CNY
2025-11,RG-SEA,东南亚,3421124,2394787,1026337,410535,3592180,3421124,CNY
2025-11,RG-EU,欧洲,5308641,3822222,1486419,637037,5574073,5308641,CNY
2025-12,RG-SOUTH,华南区,8975256,6282679,2692577,1077031,9424019,8975256,CNY
2025-12,RG-EAST,华东区,7265683,5376605,1889078,871882,7628967,7265683,CNY
2025-12,RG-NORTH,华北区,3846538,2692577,1153961,461585,4038865,3846538,CNY
2025-12,RG-HK,中国香港,2457510,1769407,688103,294901,2580386,2457510,CNY
2025-12,RG-SEA,东南亚,3098600,2230992,867608,371832,3253530,3098600,CNY
2025-12,RG-EU,欧洲,4808173,3558048,1250125,576981,5048582,4808173,CNY
2026-01,RG-SOUTH,华南区,9177000,6607440,2569560,1101240,9635850,9177000,CNY
2026-01,RG-EAST,华东区,7429000,5200300,2228700,891480,7800450,7429000,CNY
2026-01,RG-NORTH,华北区,3933000,2831760,1101240,471960,4129650,3933000,CNY
2026-01,RG-HK,中国香港,2512750,1859435,653315,301530,2638388,2512750,CNY
2026-01,RG-SEA,东南亚,3168250,2344505,823745,380190,3326662,3168250,CNY
2026-01,RG-EU,欧洲,4916250,3441375,1474875,589950,5162062,4916250,CNY
2026-02,RG-SOUTH,华南区,9382239,6942857,2439382,1125869,9851351,9382239,CNY
2026-02,RG-EAST,华东区,7595146,5468505,2126641,911418,7974903,7595146,CNY
2026-02,RG-NORTH,华北区,4020960,2975510,1045450,482515,4222008,4020960,CNY
2026-02,RG-HK,中国香港,2568947,1798263,770684,308274,2697394,2568947,CNY
2026-02,RG-SEA,东南亚,3239106,2267374,971732,388693,3401061,3239106,CNY
2026-02,RG-EU,欧洲,5026200,3618864,1407336,603144,5277510,5026200,CNY
2026-03,RG-SOUTH,华南区,9591028,6713720,2877308,1150923,10070579,9591028,CNY
2026-03,RG-EAST,华东区,7764166,5745483,2018683,931700,8152374,7764166,CNY
2026-03,RG-NORTH,华北区,4110441,2877309,1233132,493253,4315963,4110441,CNY
2026-03,RG-HK,中国香港,2626115,1890803,735312,315134,2757421,2626115,CNY
2026-03,RG-SEA,东南亚,3311188,2384055,927133,397343,3476747,3311188,CNY
2026-03,RG-EU,欧洲,5138051,3802158,1335893,616566,5394954,5138051,CNY
2026-04,RG-SOUTH,华南区,9803421,7058463,2744958,1176411,10293592,9803421,CNY
2026-04,RG-EAST,华东区,7936103,5555272,2380831,952332,8332908,7936103,CNY
2026-04,RG-NORTH,华北区,4201466,3025056,1176410,504176,4411539,4201466,CNY
2026-04,RG-HK,中国香港,2684270,1986360,697910,322112,2818484,2684270,CNY
2026-04,RG-SEA,东南亚,3384514,2504540,879974,406142,3553740,3384514,CNY
2026-04,RG-EU,欧洲,5251833,3676283,1575550,630220,5514425,5251833,CNY
2026-05,RG-SOUTH,华南区,10019474,7414411,2605063,1202337,10520448,10019474,CNY
2026-05,RG-EAST,华东区,8111003,5839922,2271081,973320,8516553,8111003,CNY
2026-05,RG-NORTH,华北区,4294060,3177604,1116456,515287,4508763,4294060,CNY
2026-05,RG-HK,中国香港,2743427,1920399,823028,329211,2880598,2743427,CNY
2026-05,RG-SEA,东南亚,3459104,2421373,1037731,415092,3632059,3459104,CNY
2026-05,RG-EU,欧洲,5367576,3864655,1502921,644109,5635955,5367576,CNY
2026-06,RG-SOUTH,华南区,8000000,5600000,2400000,960000,8400000,8000000,CNY
2026-06,RG-EAST,华东区,8288912,6133795,2155117,994669,8703358,8288912,CNY
2026-06,RG-NORTH,华北区,4388247,3071773,1316474,526590,4607659,4388247,CNY
2026-06,RG-HK,中国香港,2803603,2018594,785009,336432,2943783,2803603,CNY
2026-06,RG-SEA,东南亚,3534977,2545183,989794,424197,3711726,3534977,CNY
2026-06,RG-EU,欧洲,4836000,3578640,1257360,580320,5077800,4836000,CNY
2026-07,RG-SOUTH,华南区,10462788,7533207,2929581,1255535,10985927,10462788,CNY
2026-07,RG-EAST,华东区,8469876,5928913,2540963,1016385,8893370,8469876,CNY
2026-07,RG-NORTH,华北区,4484052,3228517,1255535,538086,4708255,4484052,CNY
2026-07,RG-HK,中国香港,2864811,2119960,744851,343777,3008052,2864811,CNY
2026-07,RG-SEA,东南亚,3612153,2672993,939160,433458,3792761,3612153,CNY
2026-07,RG-EU,欧洲,5605065,3923545,1681520,672608,5885318,5605065,CNY
2026-08,RG-SOUTH,华南区,10690164,7910721,2779443,1282820,11224672,10690164,CNY
2026-08,RG-EAST,华东区,8653942,6230838,2423104,1038473,9086639,8653942,CNY
2026-08,RG-NORTH,华北区,4581499,3390309,1191190,549780,4810574,4581499,CNY
2026-08,RG-HK,中国香港,2927069,2048948,878121,351248,3073422,2927069,CNY
2026-08,RG-SEA,东南亚,3690652,2583456,1107196,442878,3875185,3690652,CNY
2026-08,RG-EU,欧洲,5726874,4123349,1603525,687225,6013218,5726874,CNY
