order_id,shop_id,platform,sku,quantity,unit_price,discount,amount_excl_tax,refund_amount,customer_id,warehouse,order_date
O-2026-0239,SHOP-Shopee-3,Shopee,M10035,3,259,0,777,0,C020,新加坡仓,2026-04-24
O-2026-0240,SHOP-天猫-1,天猫,M10001,1,319,16,303,0,C001,广州仓,2026-04-25
O-2026-0241,SHOP-京东-2,京东,M10005,2,379,0,758,0,C002,上海仓,2026-04-26
O-2026-0242,SHOP-抖音-3,抖音,M10010,3,439,0,1317,0,C003,广州仓,2026-04-27
O-2026-0243,SHOP-Shopify-1,Shopify,M10028,1,499,25,474,474,C004,欧洲仓,2026-04-01
O-2026-0244,SHOP-Shopee-2,Shopee,M10029,2,559,0,1118,0,C005,新加坡仓,2026-04-02
O-2026-0245,SHOP-天猫-3,天猫,M10030,3,619,0,1857,0,C006,广州仓,2026-04-03
O-2026-0246,SHOP-京东-1,京东,M10031,1,679,34,645,0,C007,上海仓,2026-04-04
O-2026-0247,SHOP-抖音-2,抖音,M10028S,2,739,0,1478,0,C008,广州仓,2026-04-05
O-2026-0248,SHOP-Shopify-3,Shopify,M10032,3,799,0,2397,0,C009,欧洲仓,2026-04-06
O-2026-0249,SHOP-Shopee-1,Shopee,M10033,1,859,43,816,0,C010,新加坡仓,2026-05-07
O-2026-0250,SHOP-天猫-2,天猫,M10034,2,919,0,1838,0,C011,广州仓,2026-05-08
O-2026-0251,SHOP-京东-3,京东,M10035,3,979,0,2937,0,C012,上海仓,2026-05-09
O-2026-0252,SHOP-抖音-1,抖音,M10001,1,1039,52,987,0,C013,广州仓,2026-05-10
O-2026-0253,SHOP-Shopify-2,Shopify,M10037,2,399,0,798,0,C014,欧洲仓,2026-05-11
O-2026-0254,SHOP-Shopee-3,Shopee,M10010,3,1159,0,3477,0,C015,新加坡仓,2026-05-12
O-2026-0255,SHOP-天猫-1,天猫,M10028,1,199,10,189,0,C016,广州仓,2026-05-13
O-2026-0256,SHOP-京东-2,京东,M10029,2,259,0,518,0,C017,上海仓,2026-05-14
O-2026-0257,SHOP-抖音-3,抖音,M10030,3,319,0,957,0,C018,广州仓,2026-05-15
O-2026-0258,SHOP-Shopify-1,Shopify,M10031,1,379,19,360,0,C019,欧洲仓,2026-05-16
O-2026-0259,SHOP-Shopee-2,Shopee,M10028S,2,439,0,878,0,C020,新加坡仓,2026-05-17
O-2026-0260,SHOP-天猫-3,天猫,M10032,3,499,0,1497,0,C001,广州仓,2026-05-18
O-2026-0261,SHOP-京东-1,京东,M10033,1,559,28,531,0,C002,上海仓,2026-05-19
O-2026-0262,SHOP-抖音-2,抖音,M10034,2,619,0,1238,0,C003,广州仓,2026-05-20
O-2026-0263,SHOP-Shopify-3,Shopify,M10035,3,679,0,2037,0,C004,欧洲仓,2026-05-21
O-2026-0264,SHOP-Shopee-1,Shopee,M10001,1,739,37,702,0,C005,新加坡仓,2026-06-22
O-2026-0265,SHOP-天猫-2,天猫,M10005,2,799,0,1598,0,C006,广州仓,2026-06-23
O-2026-0266,SHOP-京东-3,京东,M10010,3,859,0,2577,0,C007,上海仓,2026-06-24
O-2026-0267,SHOP-抖音-1,抖音,M10028,1,919,46,873,0,C008,广州仓,2026-06-25
O-2026-0268,SHOP-Shopify-2,Shopify,M10029,2,979,0,1958,0,C009,欧洲仓,2026-06-26
O-2026-0269,SHOP-Shopee-3,Shopee,M10030,3,1039,0,3117,0,C010,新加坡仓,2026-06-27
O-2026-0270,SHOP-天猫-1,天猫,M10031,1,1099,55,1044,0,C011,广州仓,2026-06-01
O-2026-0271,SHOP-京东-2,京东,M10028S,2,1159,0,2318,0,C012,上海仓,2026-06-02
O-2026-0272,SHOP-抖音-3,抖音,M10032,3,199,0,597,597,C013,广州仓,2026-06-03
O-2026-0273,SHOP-Shopify-1,Shopify,M10033,1,259,13,246,0,C014,欧洲仓,2026-06-04
O-2026-0274,SHOP-Shopee-2,Shopee,M10034,2,319,0,638,0,C015,新加坡仓,2026-06-05
O-2026-0275,SHOP-天猫-3,天猫,M10035,3,379,0,1137,0,C016,广州仓,2026-06-06
O-2026-0276,SHOP-京东-1,京东,M10036,1,199,10,189,0,C017,上海仓,2026-06-07
O-2026-0277,SHOP-抖音-2,抖音,M10005,2,499,0,998,0,C018,广州仓,2026-06-08
O-2026-0278,SHOP-Shopify-3,Shopify,M10010,3,559,0,1677,0,C019,欧洲仓,2026-06-09
O-2026-0279,SHOP-Shopee-1,Shopee,M10028,1,619,31,588,0,C020,新加坡仓,2026-06-10
O-2026-0280,SHOP-天猫-2,天猫,M10029,2,679,0,1358,0,C001,广州仓,2026-07-11
O-2026-0281,SHOP-京东-3,京东,M10030,3,739,0,2217,0,C002,上海仓,2026-07-12
O-2026-0282,SHOP-抖音-1,抖音,M10031,1,799,40,759,0,C003,广州仓,2026-07-13
O-2026-0283,SHOP-Shopify-2,Shopify,M10028S,2,859,0,1718,0,C004,欧洲仓,2026-07-14
O-2026-0284,SHOP-Shopee-3,Shopee,M10032,3,919,0,2757,0,C005,新加坡仓,2026-07-15
O-2026-0285,SHOP-天猫-1,天猫,M10033,1,979,49,930,0,C006,广州仓,2026-07-16
O-2026-0286,SHOP-京东-2,京东,M10034,2,1039,0,2078,2078,C007,上海仓,2026-07-17
O-2026-0287,SHOP-抖音-3,抖音,M10035,3,1099,0,3297,3297,C008,广州仓,2026-07-18
O-2026-0288,SHOP-Shopify-1,Shopify,M10001,1,1159,58,1101,0,C009,欧洲仓,2026-07-19
O-2026-0289,SHOP-Shopee-2,Shopee,M10005,2,199,0,398,0,C010,新加坡仓,2026-07-20
O-2026-0290,SHOP-天猫-3,天猫,M10010,3,259,0,777,0,C011,广州仓,2026-07-21
O-2026-0291,SHOP-京东-1,京东,M10028,1,319,16,303,0,C012,上海仓,2026-07-22
O-2026-0292,SHOP-抖音-2,抖音,M10029,2,379,0,758,0,C013,广州仓,2026-07-23
O-2026-0293,SHOP-Shopify-3,Shopify,M10030,3,439,0,1317,0,C014,欧洲仓,2026-07-24
O-2026-0294,SHOP-Shopee-1,Shopee,M10031,1,499,25,474,0,C015,新加坡仓,2026-07-25
O-2026-0295,SHOP-天猫-2,天猫,M10028S,2,559,0,1118,0,C016,广州仓,2026-07-26
O-2026-0296,SHOP-京东-3,京东,M10032,3,619,0,1857,0,C017,上海仓,2026-07-27
O-2026-0297,SHOP-抖音-1,抖音,M10033,1,679,34,645,0,C018,广州仓,2026-08-01
O-2026-0298,SHOP-Shopify-2,Shopify,M10034,2,739,0,1478,0,C019,欧洲仓,2026-08-02
O-2026-0299,SHOP-Shopee-3,Shopee,M10038,3,499,0,1497,0,C020,新加坡仓,2026-08-03
O-2026-0300,SHOP-天猫-1,天猫,M10001,1,859,43,816,816,C001,广州仓,2026-08-04
O-2026-0301,SHOP-京东-2,京东,M10005,2,919,0,1838,1838,C002,上海仓,2026-08-05
O-2026-0302,SHOP-抖音-3,抖音,M10010,3,979,0,2937,2937,C003,广州仓,2026-08-06
O-2026-0303,SHOP-Shopify-1,Shopify,M10028,1,1039,52,987,0,C004,欧洲仓,2026-08-07
O-2026-0304,SHOP-Shopee-2,Shopee,M10029,2,1099,0,2198,0,C005,新加坡仓,2026-08-08
O-2026-0305,SHOP-天猫-3,天猫,M10030,3,1159,0,3477,0,C006,广州仓,2026-08-09
O-2026-0306,SHOP-京东-1,京东,M10031,1,199,10,189,0,C007,上海仓,2026-08-10
O-2026-0307,SHOP-抖音-2,抖音,M10028S,2,259,0,518,0,C008,广州仓,2026-08-11
O-2026-0308,SHOP-Shopify-3,Shopify,M10032,3,319,0,957,0,C009,欧洲仓,2026-08-12
O-2026-0309,SHOP-Shopee-1,Shopee,M10033,1,379,19,360,0,C010,新加坡仓,2026-08-13
O-2026-0310,SHOP-天猫-2,天猫,M10034,2,439,0,878,0,C011,广州仓,2026-08-14
O-2026-0512,SHOP-天猫-1,天猫,M10036,1,199,0,199,199,C001,广州仓,2026-05-12
